"","PROFILE_CODE","WEIGHT_PERCENT","UNCERTAINTY_PERCENT","SPECIES_NAME","SYMBOL","PROFILE_NAME","PROFILE_TYPE","TOTAL","REGION","CATEGORY_LEVEL_1_Generation_Mechanism","CATEGORY_LEVEL_2_Sector_Equipment","CATEGORY_LEVEL_3_.Fuel_Product"
"288546","91140",0.054,-99,"Copper","Cu","Charcoal Manufacturing - Composite","PM-AE6",103.0999985,"United States","Combustion","Mineral Products; Furnace","Charcoal"
"288547","91140",6.4,-99,"Iron","Fe","Charcoal Manufacturing - Composite","PM-AE6",103.0999985,"United States","Combustion","Mineral Products; Furnace","Charcoal"
"288548","91140",0.09,-99,"Lead","Pb","Charcoal Manufacturing - Composite","PM-AE6",103.0999985,"United States","Combustion","Mineral Products; Furnace","Charcoal"
"288549","91140",1.9,-99,"Magnesium","Mg","Charcoal Manufacturing - Composite","PM-AE6",103.0999985,"United States","Combustion","Mineral Products; Furnace","Charcoal"
"288550","91140",0.44,-99,"Manganese","Mn","Charcoal Manufacturing - Composite","PM-AE6",103.0999985,"United States","Combustion","Mineral Products; Furnace","Charcoal"
"288551","91140",0.3,-99,"Nitrate","NO3-","Charcoal Manufacturing - Composite","PM-AE6",103.0999985,"United States","Combustion","Mineral Products; Furnace","Charcoal"
"288554","91141",0.26205,-99,"Vanadium","V","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288555","91141",0.0018,-99,"Sodium","Na","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288557","91141",32.68575,-99,"Sulfate","SO4=","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288558","91141",14.27655,-99,"Sulfur","S","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288559","91141",0.00055,-99,"Tin","Sn","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288561","91141",19.81555,-99,"Silicon","Si","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288562","91141",0.02405,-99,"Zinc","Zn","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288563","91141",0.01175,-99,"Zirconium","Zr","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288564","91141",0.3281,-99,"Ammonium","NH4+","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288569","91141",0.0012,-99,"Selenium","Se","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288571","91141",0.1338,-99,"Calcium","Ca","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288574","91141",8.07725,-99,"Aluminum","Al","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288576","91141",0.04215,-99,"Chromium","Cr","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288577","91141",0.0076,-99,"Cobalt","Co","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288578","91141",0.02295,-99,"Copper","Cu","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288580","91141",0.03445,-99,"Phosphorus","P","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288581","91141",0.0668,-99,"Antimony","Sb","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288582","91141",0.08,-99,"Potassium","K","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288583","91141",1.164,-99,"Iron","Fe","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288585","91141",0.14705,-99,"Nickel","Ni","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288586","91141",0.0079,-99,"Molybdenum","Mo","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288587","91141",0.019,-99,"Manganese","Mn","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288588","91141",0.0094,-99,"Lead","Pb","Catalytic Cracking - Composite","PM-AE6",114.2765503,"United States","Chemical Reaction","Petrochemical; Catalytic Cracker","Petroleum Products"
"288591","91142",0.55,-99,"Sulfate","SO4=","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288598","91142",0.05,-99,"Zinc","Zn","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288599","91142",0.183333333,-99,"Sulfur","S","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288601","91142",0.05,-99,"Cobalt","Co","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288602","91142",0.05,-99,"Selenium","Se","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288603","91142",0.05,-99,"Calcium","Ca","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288604","91142",0.05,-99,"Chromium","Cr","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288605","91142",0.05,-99,"Copper","Cu","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288606","91142",0.55,-99,"Iron","Fe","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288607","91142",0.05,-99,"Lead","Pb","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288608","91142",0.05,-99,"Nickel","Ni","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288609","91142",0.55,-99,"Nitrate","NO3-","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288610","91142",0.55,-99,"Potassium","K","Fiberglass Manufacturing - Composite","PM-AE6",100.1833344,"United States","Dust","Mineral Products","Fiberglass"
"288612","91143",17.6,-99,"Sulfur","S","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288613","91143",0.32,-99,"Silicon","Si","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288615","91143",12.8,-99,"Sodium","Na","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288617","91143",48.9,-99,"Sulfate","SO4=","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288619","91143",0.015,-99,"Tin","Sn","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288621","91143",0.006,-99,"Vanadium","V","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288623","91143",1.8,-99,"Potassium","K","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288626","91143",0.014,-99,"Selenium","Se","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288627","91143",0.022,-99,"Zinc","Zn","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288629","91143",0.025,-99,"Phosphorus","P","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288631","91143",0.011,-99,"Aluminum","Al","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288632","91143",0.023,-99,"Arsenic","As","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288633","91143",0.003,-99,"Cadmium","Cd","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288634","91143",0.427,-99,"Calcium","Ca","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288635","91143",0.215,-99,"Chromium","Cr","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288636","91143",0.02,-99,"Cobalt","Co","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288637","91143",0.026,-99,"Iron","Fe","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288638","91143",0.195,-99,"Lead","Pb","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288639","91143",0.183,-99,"Magnesium","Mg","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288640","91143",0.003,-99,"Manganese","Mn","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288642","91143",0.042,-99,"Molybdenum","Mo","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288643","91143",0.004,-99,"Nickel","Ni","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288644","91143",0.015,-99,"Nitrate","NO3-","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288645","91143",0.001,-99,"Copper","Cu","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288646","91143",0.002,-99,"Antimony","Sb","Glass Furnace - Composite","PM-AE6",117.5999985,"United States","Combustion","Mineral Products; Furnace","Glass"
"288647","91144",0.29,-99,"Magnesium","Mg","Pulp & Paper Mills - Composite","PM-AE6",117.4199982,"United States","Combustion","Pulp And Paper","Miscellaneous"
"288652","91144",17.42,-99,"Sulfur","S","Pulp & Paper Mills - Composite","PM-AE6",117.4199982,"United States","Combustion","Pulp And Paper","Miscellaneous"
"288653","91144",50.56,-99,"Sulfate","SO4=","Pulp & Paper Mills - Composite","PM-AE6",117.4199982,"United States","Combustion","Pulp And Paper","Miscellaneous"
"288654","91144",2.62,-99,"Potassium","K","Pulp & Paper Mills - Composite","PM-AE6",117.4199982,"United States","Combustion","Pulp And Paper","Miscellaneous"
"288655","91144",29.34,-99,"Sodium","Na","Pulp & Paper Mills - Composite","PM-AE6",117.4199982,"United States","Combustion","Pulp And Paper","Miscellaneous"
"288656","91145",7.833333333,-99,"Sulfur","S","Petroleum Industry - Avg - Composite","PM-AE6",107.8300018,"United States","Volatilization","Petrochemical","Miscellaneous"
"288660","91145",0.275,-99,"Nitrate","NO3-","Petroleum Industry - Avg - Composite","PM-AE6",107.8300018,"United States","Volatilization","Petrochemical","Miscellaneous"
"288662","91145",23.5,-99,"Sulfate","SO4=","Petroleum Industry - Avg - Composite","PM-AE6",107.8300018,"United States","Volatilization","Petrochemical","Miscellaneous"
"288664","91146",1.733,-99,"Sodium","Na","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288665","91146",1.27,-99,"Sulfate","SO4=","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288666","91146",0.422,-99,"Sulfur","S","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288667","91146",0.031,-99,"Tin","Sn","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288669","91146",0.047,-99,"Zinc","Zn","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288670","91146",1.307,-99,"Potassium","K","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288675","91146",0.004,-99,"Vanadium","V","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288676","91146",0.005,-99,"Copper","Cu","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288677","91146",0.103,-99,"Aluminum","Al","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288678","91146",0.03,-99,"Cadmium","Cd","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288680","91146",0.0105,-99,"Chromium","Cr","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288681","91146",0.1595,-99,"Silicon","Si","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288682","91146",0.0435,-99,"Iron","Fe","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288683","91146",0.073,-99,"Lead","Pb","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288684","91146",0.017,-99,"Manganese","Mn","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288685","91146",0.007,-99,"Nickel","Ni","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288686","91146",0.1323,-99,"Nitrate","NO3-","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288688","91146",0.0905,-99,"Phosphorus","P","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288689","91146",0.154,-99,"Calcium","Ca","Slash Burning - Composite","PM-AE6",100.4199982,"United States","Combustion","Biomass Burning; Prescribed Fire; Slash","Miscellaneous"
"288690","91147",5.514,-99,"Sulfate","SO4=","Misc. Sources - Composite","PM-AE6",101.8399963,"United States","Miscellaneous","Miscellaneous","Miscellaneous"
"288694","91147",1.838,-99,"Sulfur","S","Misc. Sources - Composite","PM-AE6",101.8399963,"United States","Miscellaneous","Miscellaneous","Miscellaneous"
"288695","91147",0.164,-99,"Nitrate","NO3-","Misc. Sources - Composite","PM-AE6",101.8399963,"United States","Miscellaneous","Miscellaneous","Miscellaneous"
"288703","91148",0.34,-99,"Ammonium","NH4+","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288704","91148",0.005,-99,"Zinc","Zn","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288705","91148",0.030333333,-99,"Sulfur","S","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288706","91148",0.091,-99,"Sulfate","SO4=","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288707","91148",0.018,-99,"Aluminum","Al","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288708","91148",0.017,-99,"Silicon","Si","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288709","91148",0.001,-99,"Potassium","K","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288711","91148",0.012,-99,"Nitrate","NO3-","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288712","91148",0.001,-99,"Lead","Pb","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288713","91148",0.001,-99,"Iron","Fe","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288715","91148",0.007,-99,"Copper","Cu","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288717","91148",0.011,-99,"Sodium","Na","Asphalt Roofing - Composite","PM-AE6",100.0303345,"United States","Volatilization","Chemical Manufacturing","Asphalt Roofing"
"288719","91149",1.041666667,-99,"Sulfur","S","Inorganic Chemical Manufacturing - Composite","PM-AE6",101.0416641,"United States","Dust","Chemical Manufacturing","Inorganic"
"288720","91149",0.35,-99,"Nitrate","NO3-","Inorganic Chemical Manufacturing - Composite","PM-AE6",101.0416641,"United States","Dust","Chemical Manufacturing","Inorganic"
"288721","91149",3.125,-99,"Sulfate","SO4=","Inorganic Chemical Manufacturing - Composite","PM-AE6",101.0416641,"United States","Dust","Chemical Manufacturing","Inorganic"
"288724","91150",0.061,-99,"Sodium","Na","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288726","91150",3.1085,-99,"Sulfate","SO4=","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288727","91150",1.036166667,-99,"Sulfur","S","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288729","91150",0.5305,-99,"Zinc","Zn","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288735","91150",0.115,-99,"Silicon","Si","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288736","91150",0.019,-99,"Ammonium","NH4+","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288737","91150",0.003,-99,"Chromium","Cr","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288738","91150",0.002,-99,"Selenium","Se","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288740","91150",0.112,-99,"Calcium","Ca","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288741","91150",0.049,-99,"Copper","Cu","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288742","91150",0.46,-99,"Iron","Fe","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288743","91150",0.0605,-99,"Aluminum","Al","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288744","91150",0.016,-99,"Lead","Pb","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288745","91150",0.01,-99,"Manganese","Mn","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288746","91150",0.005,-99,"Nickel","Ni","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288747","91150",0.15,-99,"Nitrate","NO3-","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288748","91150",0.038,-99,"Potassium","K","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288750","91150",0.125,-99,"Phosphorus","P","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288751","91150",0.0375,-99,"Magnesium","Mg","Tire Dust - Composite","PM-AE6",101.0361633,"United States","Dust","Mobile; Onroad","Tire Wear"
"288754","91151",2.57,-99,"Sodium","Na","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288755","91151",1.32,-99,"Sulfur","S","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288756","91151",0.017,-99,"Vanadium","V","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288757","91151",0.47,-99,"Zinc","Zn","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288761","91151",5.495,-99,"Silicon","Si","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288762","91151",4.025,-99,"Sulfate","SO4=","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288765","91151",0.036,-99,"Copper","Cu","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288767","91151",1.43,-99,"Aluminum","Al","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288768","91151",0.025,-99,"Arsenic","As","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288769","91151",7.1755,-99,"Potassium","K","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288770","91151",0.042,-99,"Chromium","Cr","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288771","91151",2.081,-99,"Iron","Fe","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288772","91151",0.128,-99,"Lead","Pb","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288773","91151",2.27,-99,"Magnesium","Mg","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288774","91151",5.7,-99,"Nitrate","NO3-","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288776","91151",0.12,-99,"Phosphorus","P","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288777","91151",1.203,-99,"Calcium","Ca","Ferromanganese Furnace - Composite","PM-AE6",101.3199997,"United States","Combustion","Industrial; Metal; Furnace","Ferromanganese"
"288782","91152",0.05,-99,"Iron","Fe","Wood Products - Sanding - Composite","PM-AE6",100,"United States","Dust","Sanding","Wood"
"288783","91152",0.05,-99,"Calcium","Ca","Wood Products - Sanding - Composite","PM-AE6",100,"United States","Dust","Sanding","Wood"
"288787","91153",0.029,-99,"Selenium","Se","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288788","91153",3.9,-99,"Sodium","Na","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288789","91153",1.88,-99,"Sulfur","S","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288791","91153",0.05,-99,"Vanadium","V","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288792","91153",1.2,-99,"Zinc","Zn","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288797","91153",2.994,-99,"Silicon","Si","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288798","91153",1.861,-99,"Potassium","K","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288800","91153",32,-99,"Iron","Fe","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288801","91153",2.24,-99,"Sulfate","SO4=","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288802","91153",0.016,-99,"Arsenic","As","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288803","91153",6.2,-99,"Calcium","Ca","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288805","91153",0.76,-99,"Lead","Pb","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288806","91153",3.11,-99,"Magnesium","Mg","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288807","91153",0.65,-99,"Aluminum","Al","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288808","91153",0.28,-99,"Copper","Cu","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288810","91153",3.646,-99,"Manganese","Mn","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288811","91153",0.23,-99,"Nitrate","NO3-","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
"288812","91153",0.095,-99,"Phosphorus","P","Electric Arc Furnace - Composite","PM-AE6",101.8799973,"United States","Ash","Industrial; Metal; Electric Arc Furnace","Iron And Steel"
